loan_id,customer_id,application_date,disbursement_date,product_type,channel,province,age,employment_type,monthly_income_idr,loan_amount_idr,tenor_months,interest_rate_pct,credit_score,dti_ratio,status
LN000001,CUS02620,2022-10-19,2022-10-23,PayLater,Mobile App,Bali,35,Business Owner,3877466,1433200,12,1.94,595,3.08,Approved
LN000002,CUS00457,2023-01-21,2023-01-23,PayLater,Mobile App,Jawa Barat,30,Employed,3809086,2340622,36,1.74,625,1.71,Approved
LN000003,CUS00103,2024-10-05,,Business Loan,Web,Sumatera Utara,37,Employed,1702422,47145492,3,2.69,602,923.11,Rejected
LN000004,CUS03038,2023-09-25,,KTA (Personal Loan),Partner API,Jawa Timur,44,Self-Employed,4101627,48315631,3,2.59,658,392.65,Pending
LN000005,CUS01127,2022-12-26,2022-12-30,Business Loan,Mobile App,Jawa Barat,30,Employed,7761187,39355344,18,2.97,745,28.17,Approved
LN000006,CUS01004,2024-10-01,,PayLater,Mobile App,Jawa Barat,30,Student,2327741,4609871,12,2.87,588,16.5,Rejected
LN000007,CUS00915,2022-03-19,2022-03-20,PayLater,Mobile App,Jawa Tengah,44,Business Owner,9379509,2428128,6,2.1,730,4.31,Approved
LN000008,CUS00572,2022-07-04,,PayLater,Mobile App,Banten,38,Business Owner,6699968,2200396,18,3.07,587,1.82,Rejected
LN000009,CUS03017,2022-04-26,,PayLater,Mobile App,Sulawesi Selatan,28,Self-Employed,3218443,1540939,3,2.88,582,15.96,Pending
LN000010,CUS00420,2023-04-22,,Business Loan,Agent,Jawa Timur,36,Employed,4592939,130793703,24,2.85,715,118.65,Rejected
LN000011,CUS02772,2023-03-25,2023-03-30,PayLater,Mobile App,Banten,28,Employed,13045340,3584876,3,3.62,723,9.16,Approved
LN000012,CUS03034,2022-02-10,2022-02-14,PayLater,Web,Jawa Barat,28,Self-Employed,7764535,2604069,1,3.52,718,33.54,Approved
LN000013,CUS02234,2024-12-14,2024-12-16,PayLater,Agent,Banten,33,Employed,5026420,750681,6,2.84,544,2.49,Approved
LN000014,CUS00357,2024-09-05,,PayLater,Web,Jawa Timur,18,Self-Employed,4335460,4633295,3,2.78,612,35.62,Pending
LN000015,CUS02419,2022-01-02,,Business Loan,Mobile App,DKI Jakarta,18,Business Owner,5235191,196262535,12,3.04,715,312.41,Pending
LN000016,CUS01729,2023-11-11,,PayLater,Web,Bali,27,Employed,3678039,2439695,12,2.21,653,5.53,Pending
LN000017,CUS00131,2023-02-17,,KTA (Personal Loan),Agent,Jawa Tengah,23,Employed,1500000,32614736,12,2.22,564,181.19,Rejected
LN000018,CUS00123,2022-09-25,,KTA (Personal Loan),Mobile App,Banten,34,Freelancer,17026052,25263438,12,2.84,686,12.37,Rejected
LN000019,CUS00384,2023-11-29,2023-12-03,PayLater,Mobile App,Jawa Tengah,24,Employed,5488378,1948458,6,2.07,592,5.92,Approved
LN000020,CUS00896,2022-12-30,2022-12-31,PayLater,Mobile App,Kalimantan Timur,20,Employed,6349183,847934,1,2.8,793,13.36,Approved
LN000021,CUS00953,2023-10-25,,Business Loan,Mobile App,DKI Jakarta,43,Employed,4829260,96652868,36,2.58,773,55.59,Pending
LN000022,CUS02070,2022-05-02,,KTA (Personal Loan),Mobile App,Jawa Tengah,30,Self-Employed,3216738,41827305,18,2.07,698,72.24,Pending
LN000023,CUS02466,2022-02-14,,PayLater,Web,DKI Jakarta,32,Student,4472212,576641,1,2.51,758,12.89,Rejected
LN000024,CUS00109,2022-10-30,2022-11-02,PayLater,Web,DKI Jakarta,20,Employed,1915159,3119484,6,3.15,655,27.15,Approved
LN000025,CUS02299,2022-10-18,,PayLater,Mobile App,Jawa Barat,27,Freelancer,19603141,4463474,12,2.54,711,1.9,Rejected
LN000026,CUS00815,2022-08-16,,PayLater,Web,Jawa Tengah,32,Employed,2383883,1478972,3,2.54,768,20.68,Rejected
LN000027,CUS02933,2024-12-13,,PayLater,Mobile App,Sumatera Utara,22,Self-Employed,2691929,1324651,12,2.66,669,4.1,Rejected
LN000028,CUS02662,2024-01-18,,PayLater,Web,Jawa Tengah,35,Employed,3839270,3975244,12,2.73,629,8.63,Pending
LN000029,CUS02873,2022-05-29,,PayLater,Web,Jawa Tengah,27,Employed,10829602,1647888,3,2.33,513,5.07,Pending
LN000030,CUS02233,2024-02-05,,PayLater,Web,Kalimantan Timur,29,Business Owner,5043717,1363929,3,2.68,643,9.01,Rejected
LN000031,CUS01719,2024-03-21,2024-03-26,PayLater,Mobile App,Banten,27,Employed,2381561,2200951,18,1.98,715,5.13,Approved
LN000032,CUS00903,2022-07-26,,Business Loan,Web,DKI Jakarta,46,Employed,10612588,84575382,6,2.1,725,132.82,Rejected
LN000033,CUS01840,2023-11-21,,KTA (Personal Loan),Mobile App,DKI Jakarta,31,Self-Employed,7752677,44334547,3,2.16,690,190.62,Pending
LN000034,CUS02414,2023-09-11,,Education Loan,Mobile App,DKI Jakarta,23,Employed,6906747,20461086,18,2.73,606,16.46,Pending
LN000035,CUS01140,2023-10-23,,PayLater,Mobile App,DKI Jakarta,38,Employed,7681988,2326826,18,2.58,491,1.68,Pending
LN000036,CUS03316,2022-10-07,,KTA (Personal Loan),Mobile App,Jawa Barat,22,Freelancer,21032209,29047458,6,2.43,610,23.02,Pending
LN000037,CUS00027,2022-11-19,2022-11-23,PayLater,Mobile App,Banten,33,Self-Employed,18550464,4792843,24,2.85,625,1.08,Approved
LN000038,CUS03109,2024-06-13,,KTA (Personal Loan),Mobile App,DKI Jakarta,18,Employed,3311524,10094660,12,2.69,624,25.4,Rejected
LN000039,CUS03301,2024-09-24,,PayLater,Mobile App,Jawa Barat,21,Student,13246970,1434719,6,2.36,699,1.81,Rejected
LN000040,CUS00654,2023-10-12,2023-10-15,PayLater,Web,Jawa Barat,33,Employed,6292376,4831379,6,1.98,808,12.8,Approved
LN000041,CUS02860,2022-12-23,,Education Loan,Mobile App,Jawa Tengah,37,Business Owner,6745633,28933121,18,2.09,659,23.83,Pending
LN000042,CUS01732,2024-01-01,,KTA (Personal Loan),Mobile App,Sulawesi Selatan,33,Employed,1811355,12972443,3,1.77,632,238.72,Pending
LN000043,CUS01394,2023-04-03,,Education Loan,Mobile App,DIY Yogyakarta,31,Employed,4514102,8627720,12,2.57,629,15.93,Rejected
LN000044,CUS01139,2022-12-26,2022-12-27,PayLater,Web,Jawa Timur,29,Employed,3070203,2394883,12,2.07,659,6.5,Approved
LN000045,CUS00637,2024-02-14,,PayLater,Web,Jawa Tengah,20,Self-Employed,8217558,723732,12,2.25,583,0.73,Rejected
LN000046,CUS00882,2023-09-21,2023-09-23,PayLater,Partner API,Jawa Timur,26,Self-Employed,9507549,3447065,12,2.44,659,3.02,Approved
LN000047,CUS03128,2023-08-27,,KTA (Personal Loan),Partner API,Jawa Timur,28,Employed,1500000,8487320,12,3.02,686,47.15,Pending
LN000048,CUS01379,2022-09-18,,KTA (Personal Loan),Mobile App,Jawa Tengah,40,Employed,4934330,7611333,3,2.96,666,51.42,Rejected
LN000049,CUS00419,2022-12-30,2022-12-31,Education Loan,Web,Banten,34,Self-Employed,9801689,17129673,6,2.47,686,29.13,Approved
LN000050,CUS00380,2022-01-04,2022-01-09,PayLater,Mobile App,Jawa Tengah,18,Freelancer,4470188,4810039,12,3.13,684,8.97,Approved
LN000051,CUS01557,2024-03-12,,KTA (Personal Loan),Mobile App,DIY Yogyakarta,34,Self-Employed,7743672,24205817,18,1.49,508,17.37,Rejected
LN000052,CUS00397,2022-03-08,2022-03-10,PayLater,Agent,DKI Jakarta,28,Employed,6172705,2104165,12,3.44,700,2.84,Approved
LN000053,CUS01471,2023-01-08,2023-01-09,PayLater,Mobile App,Jawa Barat,26,Self-Employed,6137601,4990805,6,2.85,596,13.55,Approved
LN000054,CUS03472,2023-10-14,,KTA (Personal Loan),Web,Jawa Barat,36,Self-Employed,4248852,28938603,36,2.55,562,18.92,Pending
LN000055,CUS01409,2023-03-29,,KTA (Personal Loan),Agent,Banten,40,Employed,2409669,21885863,3,2.05,561,302.75,Pending
LN000056,CUS02473,2022-08-02,2022-08-07,PayLater,Mobile App,DKI Jakarta,39,Self-Employed,2551087,2236373,3,2.28,684,29.22,Approved
LN000057,CUS01084,2024-10-13,2024-10-17,PayLater,Mobile App,Jawa Barat,25,Employed,7652630,1377317,6,2.8,632,3.0,Approved
LN000058,CUS03306,2022-10-16,,PayLater,Mobile App,Jawa Timur,29,Employed,5058716,2805003,3,2.82,515,18.48,Rejected
LN000059,CUS00178,2023-11-10,2023-11-11,PayLater,Mobile App,Jawa Timur,34,Self-Employed,4601261,2474847,12,2.83,688,4.48,Approved
LN000060,CUS02989,2022-06-09,,PayLater,Mobile App,Jawa Tengah,39,Self-Employed,3877163,1718578,1,2.14,534,44.33,Pending
LN000061,CUS01882,2023-05-03,,PayLater,Agent,Jawa Barat,28,Student,4163369,1222430,3,2.04,661,9.79,Pending
LN000062,CUS02197,2023-12-12,2023-12-14,PayLater,Agent,Banten,30,Employed,9370673,1900574,6,2.6,669,3.38,Approved
LN000063,CUS00512,2023-10-17,,Education Loan,Web,Jawa Timur,23,Self-Employed,4088963,17717083,12,2.88,720,36.11,Pending
LN000064,CUS01551,2022-12-10,2022-12-12,Education Loan,Partner API,Sulawesi Selatan,22,Employed,2236247,6458331,24,2.5,792,12.03,Approved
LN000065,CUS00323,2022-07-01,,KTA (Personal Loan),Mobile App,Banten,38,Self-Employed,7811749,11918481,18,3.24,540,8.48,Rejected
LN000066,CUS02262,2023-11-19,,Education Loan,Web,DKI Jakarta,42,Employed,4421645,28691431,3,2.52,645,216.3,Pending
LN000067,CUS01201,2024-07-03,,KTA (Personal Loan),Mobile App,Jawa Timur,31,Employed,5095080,29428490,12,2.5,627,48.13,Pending
LN000068,CUS03398,2022-01-24,2022-01-25,PayLater,Mobile App,DKI Jakarta,40,Employed,13117994,785521,1,2.84,684,5.99,Approved
LN000069,CUS02575,2023-06-28,,PayLater,Mobile App,Jawa Barat,34,Self-Employed,4938697,3618894,6,3.11,667,12.21,Rejected
LN000070,CUS02534,2023-03-06,2023-03-10,Education Loan,Web,Jawa Barat,26,Self-Employed,5947364,6545071,18,1.83,621,6.11,Approved
LN000071,CUS01482,2023-05-27,,KTA (Personal Loan),Mobile App,Sumatera Utara,34,Business Owner,2464733,38249340,12,1.94,614,129.32,Pending
LN000072,CUS02365,2022-05-19,,Business Loan,Mobile App,DKI Jakarta,44,Employed,4382574,152492917,3,2.34,560,1159.84,Rejected
LN000073,CUS00788,2023-12-19,,Business Loan,Web,Jawa Timur,31,Employed,7207726,133705005,6,4.08,729,309.17,Rejected
LN000074,CUS02886,2023-06-10,,PayLater,Web,DKI Jakarta,44,Employed,1966418,3794920,3,2.37,686,64.33,Pending
LN000075,CUS00285,2022-08-10,2022-08-13,PayLater,Mobile App,Kalimantan Timur,18,Business Owner,5640343,895846,6,2.44,723,2.65,Approved
LN000076,CUS00188,2022-01-03,2022-01-05,PayLater,Mobile App,Jawa Tengah,38,Employed,5311703,3770512,12,2.81,625,5.92,Approved
LN000077,CUS02709,2022-04-09,,PayLater,Partner API,Jawa Timur,32,Employed,5125409,1115097,6,2.99,597,3.63,Pending
LN000078,CUS00934,2024-03-01,,PayLater,Mobile App,Jawa Timur,29,Employed,9315999,2027776,24,2.58,563,0.91,Pending
LN000079,CUS03167,2024-06-16,,PayLater,Web,Jawa Barat,32,Business Owner,6111064,4742353,12,3.08,678,6.47,Pending
LN000080,CUS01186,2024-05-09,2024-05-11,PayLater,Mobile App,Sulawesi Selatan,18,Self-Employed,12137272,2762939,18,1.9,566,1.26,Approved
LN000081,CUS00327,2022-12-07,2022-12-10,PayLater,Web,Jawa Timur,30,Business Owner,2754632,4853418,18,2.12,797,9.79,Approved
LN000082,CUS00954,2024-04-27,2024-05-02,PayLater,Web,Jawa Tengah,34,Employed,5424863,900151,12,3.08,545,1.38,Approved
LN000083,CUS00414,2024-10-06,2024-10-07,PayLater,Partner API,Jawa Tengah,43,Self-Employed,5259931,2649004,12,2.51,671,4.2,Approved
LN000084,CUS01557,2024-02-15,,KTA (Personal Loan),Mobile App,Sulawesi Selatan,27,Self-Employed,2632371,7808104,1,1.87,775,296.62,Rejected
LN000085,CUS01139,2023-12-21,2023-12-25,PayLater,Mobile App,DKI Jakarta,25,Employed,8874792,3335946,12,1.84,697,3.13,Approved
LN000086,CUS01858,2024-02-08,,KTA (Personal Loan),Partner API,Jawa Barat,27,Employed,20170918,8541815,6,2.09,664,7.06,Rejected
LN000087,CUS02604,2022-07-27,,Education Loan,Mobile App,Sumatera Utara,39,Employed,4949241,9384195,3,2.5,572,63.2,Pending
LN000088,CUS03417,2024-09-08,,PayLater,Partner API,DKI Jakarta,34,Self-Employed,6769657,1664736,6,2.73,539,4.1,Pending
LN000089,CUS01495,2023-04-07,2023-04-08,PayLater,Partner API,Jawa Timur,27,Employed,5260094,3869347,18,2.34,711,4.09,Approved
LN000090,CUS00667,2022-11-30,,Business Loan,Mobile App,Jawa Barat,36,Employed,3258565,41152802,36,2.69,770,35.08,Rejected
LN000091,CUS01517,2024-07-13,,KTA (Personal Loan),Agent,DKI Jakarta,32,Employed,1676958,43098442,6,2.28,614,428.34,Pending
LN000092,CUS01456,2022-05-31,,Business Loan,Mobile App,Jawa Timur,39,Employed,3273873,35061748,12,3.11,558,89.25,Pending
LN000093,CUS00859,2022-03-10,,PayLater,Web,Sumatera Utara,26,Employed,2168992,658600,24,3.78,453,1.27,Pending
LN000094,CUS02746,2023-08-27,,Business Loan,Web,Jawa Tengah,29,Business Owner,13900143,85058629,6,2.3,571,101.99,Pending
LN000095,CUS01094,2022-02-11,,Education Loan,Mobile App,DKI Jakarta,28,Employed,4666326,29486041,3,2.74,640,210.63,Rejected
LN000096,CUS02875,2023-10-15,2023-10-18,KTA (Personal Loan),Web,Jawa Barat,20,Employed,4062856,9965400,6,2.7,777,40.88,Approved
LN000097,CUS02800,2023-06-19,2023-06-24,PayLater,Partner API,DIY Yogyakarta,34,Self-Employed,8524379,957732,24,2.57,703,0.47,Approved
LN000098,CUS02655,2022-08-03,,Business Loan,Web,DKI Jakarta,34,Freelancer,2550749,152721637,3,2.83,674,1995.78,Pending
LN000099,CUS00293,2022-06-01,,Business Loan,Mobile App,DKI Jakarta,32,Freelancer,3156044,69310721,6,2.74,617,366.02,Pending
LN000100,CUS02496,2023-12-02,,Business Loan,Web,DIY Yogyakarta,30,Employed,5208444,146283507,12,2.26,603,234.05,Pending
LN000101,CUS02601,2022-12-15,2022-12-16,PayLater,Mobile App,Sulawesi Selatan,20,Employed,9269220,1400047,18,3.16,762,0.84,Approved
LN000102,CUS00701,2024-02-08,,Business Loan,Mobile App,Jawa Timur,28,Self-Employed,6756121,97413678,24,2.6,666,60.08,Pending
LN000103,CUS02188,2022-11-26,2022-11-28,PayLater,Mobile App,DKI Jakarta,29,Employed,5803336,1693804,6,2.31,481,4.86,Approved
LN000104,CUS02987,2022-06-03,,PayLater,Mobile App,DKI Jakarta,25,Self-Employed,5239932,2531876,24,3.72,596,2.01,Pending
LN000105,CUS01003,2022-07-10,,KTA (Personal Loan),Partner API,DKI Jakarta,30,Employed,6357145,39609369,3,2.44,581,207.69,Rejected
LN000106,CUS00670,2023-11-24,,PayLater,Web,Jawa Timur,35,Self-Employed,5643077,3929044,3,2.63,606,23.21,Pending
LN000107,CUS01894,2024-09-15,,KTA (Personal Loan),Agent,Jawa Barat,47,Freelancer,2695151,28209752,24,2.59,695,43.61,Rejected
LN000108,CUS01555,2022-03-05,,KTA (Personal Loan),Mobile App,DKI Jakarta,33,Employed,5140166,46776732,12,2.44,641,75.84,Pending
LN000109,CUS01106,2024-06-02,2024-06-05,PayLater,Web,Jawa Barat,34,Self-Employed,2625377,1687028,3,2.72,643,21.42,Approved
LN000110,CUS02622,2022-12-04,2022-12-08,KTA (Personal Loan),Mobile App,Sulawesi Selatan,31,Employed,5249261,15814010,12,2.08,755,25.11,Approved
LN000111,CUS02819,2024-06-08,,Education Loan,Mobile App,Banten,18,Employed,3747350,20345160,18,2.8,594,30.16,Pending
LN000112,CUS02282,2022-11-18,2022-11-22,PayLater,Partner API,Jawa Timur,31,Self-Employed,22944239,3295836,18,1.62,799,0.8,Approved
LN000113,CUS00900,2022-04-20,2022-04-22,KTA (Personal Loan),Mobile App,DKI Jakarta,32,Freelancer,4881737,7094301,24,1.85,596,6.06,Approved
LN000114,CUS02805,2022-07-27,,PayLater,Mobile App,Sulawesi Selatan,51,Business Owner,2153068,3234999,12,3.41,657,12.52,Rejected
LN000115,CUS01329,2023-11-10,2023-11-11,KTA (Personal Loan),Mobile App,Jawa Tengah,30,Self-Employed,4613237,21849627,24,1.87,627,19.73,Approved
LN000116,CUS03453,2023-02-25,2023-02-27,PayLater,Partner API,Jawa Tengah,34,Employed,6828145,3863491,12,1.52,659,4.72,Approved
LN000117,CUS03148,2023-01-25,2023-01-30,PayLater,Web,Kalimantan Timur,31,Employed,13646134,4136475,12,1.88,685,2.53,Approved
LN000118,CUS03179,2024-04-18,,PayLater,Mobile App,DKI Jakarta,22,Business Owner,3510528,2984692,18,3.37,684,4.72,Pending
LN000119,CUS00230,2023-06-28,,Education Loan,Mobile App,Jawa Tengah,41,Employed,1934755,5042625,6,1.6,589,43.44,Pending
LN000120,CUS00939,2023-07-31,,KTA (Personal Loan),Mobile App,Banten,38,Self-Employed,8162415,33636461,1,2.02,560,412.09,Rejected
LN000121,CUS03367,2023-09-02,,KTA (Personal Loan),Mobile App,DKI Jakarta,38,Self-Employed,2183826,38699657,6,1.77,850,295.35,Pending
LN000122,CUS00132,2023-05-02,2023-05-06,PayLater,Partner API,Jawa Barat,24,Self-Employed,3848735,1620424,12,2.36,611,3.51,Approved
LN000123,CUS03298,2022-07-16,,KTA (Personal Loan),Agent,Bali,43,Employed,4283907,25909070,3,2.28,705,201.6,Pending
LN000124,CUS01293,2022-04-12,,PayLater,Agent,DKI Jakarta,20,Self-Employed,4795403,4845769,3,2.26,521,33.68,Pending
LN000125,CUS01644,2024-03-15,2024-03-19,PayLater,Partner API,Jawa Tengah,36,Self-Employed,7560494,1841519,6,3.43,627,4.06,Approved
LN000126,CUS01097,2024-10-02,,KTA (Personal Loan),Partner API,Banten,49,Employed,3317652,15041896,1,1.9,639,453.39,Pending
LN000127,CUS00272,2022-11-11,2022-11-12,PayLater,Partner API,Jawa Barat,24,Employed,4242702,1448846,18,2.45,687,1.9,Approved
LN000128,CUS00865,2022-04-22,,PayLater,Agent,Jawa Barat,27,Self-Employed,4957371,3014603,6,2.67,432,10.14,Rejected
LN000129,CUS02324,2024-01-09,,KTA (Personal Loan),Partner API,DKI Jakarta,32,Freelancer,5469551,47740419,3,2.01,663,290.95,Pending
LN000130,CUS02941,2022-01-08,,Business Loan,Mobile App,DKI Jakarta,27,Employed,5302265,125651124,12,2.74,558,197.48,Rejected
LN000131,CUS01289,2024-05-25,,PayLater,Mobile App,Sulawesi Selatan,19,Employed,6495056,1864954,18,2.3,675,1.6,Rejected
LN000132,CUS00871,2022-06-29,,PayLater,Web,Sumatera Utara,32,Employed,8295735,3373564,1,2.69,567,40.67,Pending
LN000133,CUS02685,2023-08-27,,PayLater,Web,Jawa Barat,23,Student,6328216,3311790,3,2.45,581,17.44,Pending
LN000134,CUS02045,2024-09-10,,Education Loan,Web,Jawa Barat,35,Business Owner,6563928,19923128,24,1.47,628,12.65,Pending
LN000135,CUS01621,2023-02-13,,Business Loan,Web,Jawa Barat,24,Self-Employed,1934993,40290979,6,3.15,565,347.04,Pending
LN000136,CUS02634,2022-07-18,,KTA (Personal Loan),Web,Jawa Barat,44,Employed,5152976,33555505,24,3.54,611,27.13,Rejected
LN000137,CUS01880,2022-02-22,,Education Loan,Mobile App,Jawa Timur,25,Employed,6666816,15754111,6,2.41,554,39.38,Rejected
LN000138,CUS00586,2023-02-28,,PayLater,Mobile App,DKI Jakarta,29,Business Owner,7743103,583664,3,2.05,503,2.51,Pending
LN000139,CUS01085,2022-12-16,,Education Loan,Partner API,Sulawesi Selatan,38,Freelancer,3300346,18494112,3,3.25,731,186.79,Pending
LN000140,CUS00572,2023-08-21,,PayLater,Web,Jawa Barat,22,Employed,3366973,4951700,1,3.45,546,147.07,Pending
LN000141,CUS01011,2022-06-17,,PayLater,Mobile App,Sulawesi Selatan,33,Student,3543013,2073828,24,2.42,635,2.44,Rejected
LN000142,CUS03052,2024-08-27,,KTA (Personal Loan),Partner API,Jawa Tengah,42,Employed,6898377,48450164,36,2.39,710,19.51,Pending
LN000143,CUS02300,2022-08-25,2022-08-29,PayLater,Mobile App,Banten,19,Employed,9297695,932925,36,2.46,600,0.28,Approved
LN000144,CUS02208,2023-09-24,,KTA (Personal Loan),Mobile App,Sumatera Utara,33,Business Owner,3915573,37960255,24,1.66,583,40.39,Rejected
LN000145,CUS01077,2024-03-25,2024-03-27,PayLater,Mobile App,Jawa Barat,34,Self-Employed,8621122,1014484,18,2.35,668,0.65,Approved
LN000146,CUS03060,2024-08-22,2024-08-24,KTA (Personal Loan),Partner API,Jawa Timur,38,Business Owner,5384507,17310720,12,3.36,739,26.79,Approved
LN000147,CUS02395,2024-09-28,,PayLater,Web,Jawa Timur,22,Freelancer,4640705,3068783,18,2.42,556,3.67,Rejected
LN000148,CUS01755,2023-06-27,,PayLater,Mobile App,Jawa Tengah,21,Self-Employed,4404414,3167508,3,1.98,637,23.97,Pending
LN000149,CUS02391,2022-07-06,,Education Loan,Agent,Jawa Tengah,36,Employed,7825633,24380282,6,2.75,511,51.92,Rejected
LN000150,CUS01636,2024-03-04,,Business Loan,Agent,Jawa Barat,34,Self-Employed,6078661,126909167,12,2.17,618,173.98,Rejected
LN000151,CUS01483,2023-01-14,2023-01-16,Education Loan,Web,Jawa Barat,34,Self-Employed,19588314,19840367,24,2.47,652,4.22,Approved
LN000152,CUS00899,2024-01-30,,KTA (Personal Loan),Partner API,Jawa Tengah,34,Business Owner,2998472,46055888,12,1.87,581,128.0,Rejected
LN000153,CUS00567,2024-02-21,,KTA (Personal Loan),Web,DKI Jakarta,26,Self-Employed,6822997,25347233,18,1.98,613,20.64,Rejected
LN000154,CUS02088,2024-01-27,,KTA (Personal Loan),Web,Kalimantan Timur,33,Business Owner,3639758,15136960,12,2.87,537,34.66,Pending
LN000155,CUS02022,2023-01-18,2023-01-21,PayLater,Mobile App,Jawa Timur,34,Freelancer,2967932,1228048,18,2.56,656,2.3,Approved
LN000156,CUS00373,2024-07-01,2024-07-05,PayLater,Mobile App,Jawa Barat,26,Business Owner,4967504,2299975,36,2.11,734,1.29,Approved
LN000157,CUS03096,2022-04-02,,PayLater,Mobile App,DKI Jakarta,46,Business Owner,5429512,3707387,3,2.56,562,22.76,Pending
LN000158,CUS00193,2023-06-24,2023-06-28,Business Loan,Partner API,Jawa Timur,35,Self-Employed,28799039,18083262,24,2.2,600,2.62,Approved
LN000159,CUS00450,2024-06-19,2024-06-21,PayLater,Mobile App,DKI Jakarta,22,Employed,4476987,1080740,12,2.11,690,2.01,Approved
LN000160,CUS00627,2024-08-10,2024-08-15,Education Loan,Mobile App,Jawa Timur,37,Student,2537884,7652836,12,3.08,746,25.13,Approved
LN000161,CUS02571,2023-06-24,,KTA (Personal Loan),Mobile App,DKI Jakarta,24,Self-Employed,5889931,31336256,24,2.89,530,22.17,Pending
LN000162,CUS00656,2023-04-09,,KTA (Personal Loan),Mobile App,Jawa Timur,38,Business Owner,1500000,15928909,6,2.49,636,176.99,Pending
LN000163,CUS03245,2023-07-05,2023-07-10,PayLater,Mobile App,Jawa Barat,41,Self-Employed,4731602,1248167,6,2.57,672,4.4,Approved
LN000164,CUS02788,2022-05-07,2022-05-10,PayLater,Partner API,Jawa Timur,25,Self-Employed,5048307,3167468,12,2.5,641,5.23,Approved
LN000165,CUS01730,2022-11-06,,Education Loan,Agent,DKI Jakarta,39,Self-Employed,8054235,24032747,1,2.74,451,298.39,Pending
LN000166,CUS02443,2022-07-18,2022-07-23,PayLater,Agent,DKI Jakarta,35,Business Owner,8967538,1994697,12,2.1,690,1.85,Approved
LN000167,CUS00261,2022-06-25,2022-06-27,PayLater,Web,DKI Jakarta,38,Employed,3696166,3101920,6,2.93,771,13.99,Approved
LN000168,CUS01577,2023-12-06,2023-12-11,PayLater,Agent,Jawa Barat,47,Employed,4567972,941559,24,2.68,659,0.86,Approved
LN000169,CUS01564,2024-04-27,,PayLater,Mobile App,Jawa Barat,30,Employed,3157452,4708359,1,2.37,567,149.12,Pending
LN000170,CUS02441,2023-04-11,,PayLater,Mobile App,DKI Jakarta,25,Employed,2541108,2016032,12,2.26,608,6.61,Pending
LN000171,CUS01918,2022-05-05,,KTA (Personal Loan),Mobile App,Jawa Barat,24,Employed,6021731,49887756,24,2.92,791,34.52,Rejected
LN000172,CUS02168,2024-03-03,,KTA (Personal Loan),Partner API,Jawa Timur,25,Employed,2328645,49036449,24,2.42,722,87.74,Pending
LN000173,CUS01030,2024-12-06,,KTA (Personal Loan),Mobile App,Jawa Tengah,31,Business Owner,3898772,40047055,18,2.15,701,57.07,Rejected
LN000174,CUS02267,2024-05-07,2024-05-11,PayLater,Web,Bali,34,Student,2752015,590301,12,2.31,678,1.79,Approved
LN000175,CUS00048,2024-08-30,,Business Loan,Partner API,Jawa Barat,34,Self-Employed,6953518,113260234,6,2.88,597,271.47,Rejected
LN000176,CUS02787,2023-04-28,,Business Loan,Web,Jawa Barat,38,Employed,14736036,26498919,6,1.69,633,29.97,Pending
LN000177,CUS02953,2024-09-02,,PayLater,Mobile App,Jawa Timur,32,Employed,2289847,4528121,1,2.32,643,197.75,Pending
LN000178,CUS00470,2023-09-05,2023-09-08,PayLater,Web,Jawa Barat,43,Self-Employed,1644813,4053363,18,3.04,693,13.69,Approved
LN000179,CUS02793,2022-06-11,2022-06-13,PayLater,Partner API,Jawa Timur,29,Employed,4639032,4875531,6,2.42,770,17.52,Approved
LN000180,CUS02200,2024-03-19,,Business Loan,Mobile App,Kalimantan Timur,53,Employed,5047315,125592761,12,2.64,739,207.36,Pending
LN000181,CUS03076,2022-03-13,,KTA (Personal Loan),Web,Jawa Tengah,37,Employed,5700953,28497776,6,3.04,536,83.31,Rejected
LN000182,CUS01093,2024-10-25,,Education Loan,Partner API,Jawa Tengah,25,Employed,3825333,17974346,12,2.95,667,39.16,Rejected
LN000183,CUS03149,2024-11-24,2024-11-25,PayLater,Agent,Banten,23,Employed,4432901,2239017,12,2.28,708,4.21,Approved
LN000184,CUS02626,2022-10-29,2022-10-31,KTA (Personal Loan),Mobile App,Banten,35,Employed,6233538,26091053,18,2.43,699,23.25,Approved
LN000185,CUS01394,2022-09-04,,PayLater,Mobile App,Jawa Tengah,30,Business Owner,9334306,3359356,3,2.95,599,12.0,Pending
LN000186,CUS00457,2024-07-08,,PayLater,Mobile App,DKI Jakarta,37,Business Owner,1547140,4698264,6,2.97,850,50.61,Rejected
LN000187,CUS01203,2022-12-21,,KTA (Personal Loan),Web,DIY Yogyakarta,35,Employed,4007125,31814795,3,2.46,547,264.65,Pending
LN000188,CUS01781,2022-12-09,,PayLater,Partner API,Jawa Barat,31,Employed,5684386,4357021,1,2.47,563,76.65,Rejected
