repayment_id,loan_id,customer_id,installment_no,due_date,paid_date,monthly_payment_idr,delay_days,repayment_status
RP0000001,LN000001,CUS02620,1,2022-11-22,2022-11-22,147237,0,On Time
RP0000002,LN000001,CUS02620,2,2022-12-22,2022-12-22,147237,0,On Time
RP0000003,LN000001,CUS02620,3,2023-01-21,2023-01-21,147237,0,On Time
RP0000004,LN000001,CUS02620,4,2023-02-20,2023-02-20,147237,0,On Time
RP0000005,LN000001,CUS02620,5,2023-03-22,2023-03-22,147237,0,On Time
RP0000006,LN000001,CUS02620,6,2023-04-21,2023-04-21,147237,0,On Time
RP0000007,LN000001,CUS02620,7,2023-05-21,2023-05-21,147237,0,On Time
RP0000008,LN000001,CUS02620,8,2023-06-20,2023-06-20,147237,0,On Time
RP0000009,LN000001,CUS02620,9,2023-07-20,2023-07-20,147237,0,On Time
RP0000010,LN000001,CUS02620,10,2023-08-19,2023-08-19,147237,0,On Time
RP0000011,LN000001,CUS02620,11,2023-09-18,2023-09-18,147237,0,On Time
RP0000012,LN000001,CUS02620,12,2023-10-18,2023-10-18,147237,0,On Time
RP0000013,LN000002,CUS00457,1,2023-02-22,2023-02-22,105744,0,On Time
RP0000014,LN000002,CUS00457,2,2023-03-24,2023-03-24,105744,0,On Time
RP0000015,LN000002,CUS00457,3,2023-04-23,2023-04-23,105744,0,On Time
RP0000016,LN000002,CUS00457,4,2023-05-23,2023-05-23,105744,0,On Time
RP0000017,LN000002,CUS00457,5,2023-06-22,2023-06-22,105744,0,On Time
RP0000018,LN000002,CUS00457,6,2023-07-22,2023-07-22,105744,0,On Time
RP0000019,LN000002,CUS00457,7,2023-08-21,2023-08-21,105744,0,On Time
RP0000020,LN000002,CUS00457,8,2023-09-20,2023-09-20,105744,0,On Time
RP0000021,LN000002,CUS00457,9,2023-10-20,2023-10-20,105744,0,On Time
RP0000022,LN000002,CUS00457,10,2023-11-19,2023-11-19,105744,0,On Time
RP0000023,LN000002,CUS00457,11,2023-12-19,2023-12-19,105744,0,On Time
RP0000024,LN000002,CUS00457,12,2024-01-18,2024-01-18,105744,0,On Time
RP0000025,LN000002,CUS00457,13,2024-02-17,2024-02-17,105744,0,On Time
RP0000026,LN000002,CUS00457,14,2024-03-18,2024-03-18,105744,0,On Time
RP0000027,LN000002,CUS00457,15,2024-04-17,2024-04-17,105744,0,On Time
RP0000028,LN000002,CUS00457,16,2024-05-17,2024-05-17,105744,0,On Time
RP0000029,LN000002,CUS00457,17,2024-06-16,2024-06-16,105744,0,On Time
RP0000030,LN000002,CUS00457,18,2024-07-16,2024-07-16,105744,0,On Time
RP0000031,LN000002,CUS00457,19,2024-08-15,2024-08-15,105744,0,On Time
RP0000032,LN000002,CUS00457,20,2024-09-14,2024-09-14,105744,0,On Time
RP0000033,LN000002,CUS00457,21,2024-10-14,2024-10-14,105744,0,On Time
RP0000034,LN000002,CUS00457,22,2024-11-13,2024-11-13,105744,0,On Time
RP0000035,LN000002,CUS00457,23,2024-12-13,2024-12-13,105744,0,On Time
